"ID","Function","Potential Failure Mode","Image1 - Failure Mode","Image2 - Failure Mode","TDM","SPR","Potential Failure Effects","SEVERITY","Potential Causes","Image - Root Cause","OCCURRENCE","Preventive Controls","Image - Prevention","Detection Controls","Image - Detection","DETECTION","RPN","PFMEA Linkage","SPRRefLink","JIRA","JIRARefLink"
"26","Battery and Interconnect","Broken battery terminal contacts","qualib464_pic1.png","qualib464_pic2.png","QUAL-LIB-464
QUAL-LIB-465",,"Failure to operate","8","Insufficient mechanical strength to hold large battery mass during drop",,"4","Add mechanical support feature to prevent battery cell movement",,"Drops and Tumble Tests",,"3","96","No",,,
"27","Battery and Interconnect","Battery not charging","qualib466_pic1.png",,"QUAL-LIB-466",,"Failure to operate","8","Battery contacts misalignment due to parts tolerance stack-up",,"4","Tolerance analysis on critical dimensions",,"Battery inserion life test in random fashion",,"3","96","No",,,
"28","Battery and Interconnect","Pogo pins broken / detached","qualib459_pic1.png",,"QUAL-LIB-459","SPR 19673","Failure to operate","8","Pogo pins and battery housing colliding due to Interference during battery installation. 
",,"4","Design should consider the full range of motion of the battery during installation and removal to eliminate possibility of interference with pogo pins",,"Battery insert/ remove life test",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=19673",,
"29","Battery and Interconnect","Contact pins solder joint fracture","qualib467_pic1.png",,"QUAL-LIB-467","SPR 28035","Failure to operate","8","Interference between battery connector housing and main PCB connector housing causing the solder joints on the battery pins under constant stress.",,"4","Maintain sufficient clearance between mating connector housings or provision hard stop to prevent interference.",,"Drop Test, Tumble Test, AFM, Teardown Inspection",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=28035",,
"30","Battery and Interconnect","Glue overflow to connector","qualib468_pic1.png",,"QUAL-LIB-468","SPR 29836","Failure to operate","8","Gap between battery connector pin interface and battery housing which increased over time resulting to moisture ingress.",,"4","Mating surface seal design guidelines to maintain seal integrity over the expected life of the product",,"Thermal Shock followed by Ingress Protection test; 
Serialized IP test",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=29836",,
"31","Battery and Interconnect","Nickel metal tab connecting battery cell to PCBA fractured during Vibration test breaking electrical
connection","qualib530_pic1.png",,"QUAL-LIB-530",,"Failure to operate","8","Nickel tab bend radius forced in a sharp bend due to lack of room for a more gradual bend.","qualib530_pic2.png","4","Use of flexible connection approach between battery cell PCBA with sufficient room for a gradual bend radius.
Provide forming fixture during the assembly process to avoid inducing stress nickel tab.",,"Vibration Test
Drop Test 
Tumble Test 
AFM 
X-ray Inspection 
Teardown Inspection",,"3","96","Yes",,,
"32","Battery and Interconnect","Internal thermistor lead broke during vibration testing","qualib531_pic1.png",,"QUAL-LIB-531",,"Failure to operate","8","No strain relief on Thermistor wire between the thermistor bonding site to the solder connection on the PCBA.",,"4","Provide strain relief for the Thermistor connection to the PCBA",,"Vibration Test
Drop Test
Tumble Test
X-ray Inspection
Teardown Inspection",,"3","96","No",,,
"33","Battery and Interconnect"," Soldering crack on battery connector after drop test","qualib532_pic1.png",,"QUAL-LIB-532",,"Failure to operate","8","No reinforcement feature for the connector to withstand impact shock during drops.",,"3","Add supporting feature to the connector such as crush ribs.","qualib532_pic2.png","Drops and Tumble tests",,"3","72","No",,,
"34","Battery and Interconnect","Water ingress into the battery connector area during field use. Device is powering off.","qualib581_pic1.png",,"QUAL-LIB-581","SPR 29863","Failure to operate","8","Battery sealing surfaces sustained damage during stand alone drops. ",,"4","Battery sealing surface should be designed to be recessed to prevent direct impact when accidentally dropped.  Add mechanical features such as rubs to protect critical sealing surfaces.",,"Drop simulation study for battery sealing surface.
Serialized IP testing for standalone batteries.",,"3","96","No",,,
"35","Battery and Interconnect"," Water pooling on the terminal's battery connector during field battery swap under heavy rain environment.","qualib582_pic1.png",,"QUAL-LIB-582",,"Failure to operate","8","Battery connector is located at the bottom of the TC7X battery well. Water will collect at the terminal connector when the battery is being swapped in the field when under heavy rain.",,"4","Battery connector should be strategically located such that water collects in the unsealed portion of the battery
compartment during normal battery removal in it's typical orientation. 
Battery compartment design should have features to promote liquids to flow away from the battery connector. 
Define requirement in PRD to not allow water build up in battery connector area when battery is swapped under rain environment.",,"IPXX test without battery.
IPXX test with battery.
Serialized IP test.",,"3","96","No",,,
"36","Battery and Interconnect","Battery Latch requires excessive force to engage.  
TC51 experience.","qualib592_pic1.png",,"QUAL-LIB-592","SPR 34186
SPR 34749","Poor customer experience due to difficulty in installing the battery.","6","Insufficient tolerance stack-up analysis.  Geometry of battery and terminal mating surfaces creeped away from nominal dimensions resulting to significant amount of compression force to close the latch.
Critical dimension between mating surface  not specified on drawing.",,"4","Define engagement force requirement of battery to Terminal in PRD.
Define critical dimensions on mating parts and conduct tolerance stack-up analysis.
",,"Worst case simulation of CAD data stack-up on moving part interfaces.",,"4","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=34186",,
"37","Battery and Interconnect","Battery cap breaks off during drops. Unable to remove battery from headset and unable to be charged.
Experienced on Viking headset.","qualib593_pic1.png",,"QUAL-LIB-593","SPR 36700","Failure to operate","8","Battery cap is attached to battery pack using glue dispensed on cap and battery pack retention features which is difficult to control and therefore not consistent.",,"4","Use of mechanical fastener to attached cap to battery pack.",,"Battery install/ remove life test.
Drop test
Tumble test
",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=36700",,
"38","Battery and Interconnect","Pogo pins height became depressed on WT6000 battery connector","qualib595_pic1.png",,"QUAL-LIB-595","SPR 36137","Failure to operate","8","During drop sequence on AFM test it was observed that the battery connector pogo pins were depressed.
Investigation showed the pogo pins were pushing out the back of the connector housing.
The pogo housing retention force is not sufficient to maintain pogo pin heights during impact.","70bfb4fd-edb0-48f8-a23c-e0e311ebdec3.png","4","Design of pogo pin housing should have retention force to maintain pogo pin heights on impact such as support feature under the pogo connector.","qualib595_pic3.png","Drop test.
Tumble test.
AFM test.
Teardown inspection.
Review of supplier test data on pogo pin life tests.",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=36137",,
"39","Wi-Fi","LAN & GPS antennae broke off during drop test","qualib482_pic1.png",,"QUAL-LIB-482",,"Unable to connect to Wi-Fi and GPS","5","Poor anchoring.",,"4","Design for adequate anchoring such as more than one screw to support antenna assembly or add epoxy for reinforcement.
Pad size optimization for good solder joint. 
Design to account for part interference during drops and tumbles. ",,"Drop tests.
Tumble test.
",,"3","60","No",,,
"40","Wi-Fi","Poor radio signal strength.","qualib483_pic1.png",,"QUAL-LIB-483","SPR 16684","Poor WLAN and GPS connectivity.","5","Inadequate details on part drawing for minimum wire stripping, wire forming and proper routing/ bending. ",,"4","3D model and tolerance analysis must allow for adequate wire/insulation space within the assembly.
Crimp type antenna connectors have specified pull force.
Design or manufacturing specification identifies minimum wire stripping, wire forming, proper routing/bending to minimize variation.
Shield solder area has adequate solder pad size/dimension for hand soldering.
Insulation present up to solder joint (no unshielded, stripped bare wire suspended beyond solder joint).
Solder flux splatter must not find its way to other PCB areas, assemblies or parts. ",,"Vibration, Drops, Tumble tests and measure radio transmit and receive signal strength.
Process control including Go/NG gage for solder strips, visual inspection of wire soldering and SPC for connector pull force.
",,"3","60","Yes",,,
"41","GPS","LAN & GPS antennae broke off during drop test","qualib482_pic1.png",,"QUAL-LIB-482",,"Unable to connect to Wi-Fi or GPS","7","Poor anchoring.",,"4","Design for adequate anchoring such as more than one screw to support antenna assembly or add epoxy for reinforcement.
Pad size optimization for good solder joint. 
Design to account for part interference during drops and tumbles.",,"Drop tests.
Tumble test.",,"3","84","No",,,
"42","GPS","Poor radio signal strength.","qualib483_pic1.png",,"QUAL-LIB-483","16684","Poor WLAN and GPS connectivity.","5","Inadequate details on part drawing for minimum wire stripping, wire forming and proper routing/ bending",,"4","3D model and tolerance analysis must allow for adequate wire/insulation space within the assembly.
Crimp type antenna connectors have specified pull force.
Design or manufacturing specification identifies minimum wire stripping, wire forming, proper routing/bending to minimize variation.
Shield solder area has adequate solder pad size/dimension for hand soldering.
Insulation present up to solder joint (no unshielded, stripped bare wire suspended beyond solder joint).
Solder flux splatter must not find its way to other PCB areas, assemblies or parts.",,"Vibration, Drops, Tumble tests and measure radio transmit and receive signal strength.
Process control including Go/NG gage for solder strips, visual inspection of wire soldering and SPC for connector pull force.",,"3","60","Yes",,,
"43","USB","Connector broken","qualib449_pic1.png",,"QUAL-LIB-449",,"No USB connection","6","Insufficient mechanical support.
Poor solder joint.",,"4","Design should provision for adequate mechanical anchoring.
Design and component selection should minimize component overhang from PCB to eliminate cantilever effects.",,"Bend testing with cable inserted into connector to identify weak points.
",,"3","72","No",,,
"44","USB","Cradle pin cross contact to incorrect Terminal pin","qualib450_pic1.png",,"QUAL-LIB-450",,"Loss of USB connection","6","Poor alignment between terminal and cradle as cradle pins come into close proximity with terminal connector.",,"5","The complete range of motion must be evaluated when analyzing terminal-to-cradle interface since the end  user will dock the terminal in a random fashion.  Geometry of the terminal-to-cradle interface must be verified to prevent misalignment of the connection under multiple insertion/ placement scenarios. 
CAD models should be manipulated to evaluate worst case docking orientations and angles. Tolerance analyses performed with the system in these configurations.","qualib450_pic2.png.jpg","Insertion life test with complete range of motions while docking followed by full function check.","qualib450_pic3.png.jpg","3","90","No",,,
"45","USB","Corrosion on USB connector","qualib454_pic1.png",,"QUAL-LIB-454","6","Loss of USB function.","6","Poor use case definition and poor mechanical design anticipating failure during typical use resulting to USB connector corroding due to customer environmental use-case.",,"4","Define customer use-case environment.
Design compatible plating, mating geometries, tolerance and alignment/ compression or contact area impedance meets expected connector useful life.",,"IPXX test.
Insertion life test.
Tug/ bend and rotation test.
Chemical resistance test.",,"3","72","No",,,
"46","USB"," Cracked solder joints on micro USB receptacle","qualib455_pic1.png",,"QUAL-LIB-455","SPR 25159
SPR 24962","Loss of USB function","6","Insufficient micro USB receptacle mounting/solder strength to withstand daily usage. 
 
(Micro USB's are being used more than expected on devices and need to make sure design is robust enough to withstand  increase of use).",,"4","Provide design features that would prevent relative motion of the receptacle.  If design is limited, add epoxy for reinforcement.
Consider Organic Solder Preservative (OSP) or Electroless Nickel Electroless Palladium Immersion Gold (ENEPIG) plating instead of Electroless Nickel Immersion Gold (ENIG) on PCB.",,"Insertion life test.
Test to point of failure to establish design margin.
",,"3","72","Yes",,,
"47","USB"," USB adapter disconnects easily from terminal during use","qualib456_pic1.png",,"QUAL-LIB-456","SPR 24037
SPR 27126","Loss of USB connection","6","The micro USB connector has insufficient strength to withstand being pulled out of the inner-mold/ over-mold on lateral forces. ",,"4","Select robust connector design i.e. with top and bottom covers providing greater resistance against lateral forces.
Tolerance analysis to maintain minimum gap between the connector over-mold and receptacle to limit pivoting.",,"Perform off-axis bend testing to establish force required to cause failure and expose failure mode.  Do not limit testing to only the axis of insertion.",,"3","72","No",,,
"48","Enclosure","Magnets are falling off from the snap-on USB charge cable.","qualib389_pic1.png",,"QUAL-LIB-389","SPR 30052
SPR 28300","Loss of USB function","6","Cable design is lacking sufficient retaining feature for the magnet",,"4","Design retaining features that will constrain the magnet from moving in XYZ directions.",,"Vibration test.
Drop test.
Tumble test.",,"3","72","No","https://spr.zebra.com/ViewSPR.aspx?sprID=30052",,
"50","Enclosure","Finger print reader detached from holder","qualib391_pic1.png",,"QUAL-LIB-391",,"Loss of finger print reader capability","6","Lack of designed features to protect sensitive components from direct impacts",,"4","Provide protective features such as raised surfaces or ribs designed to prevent sensitive components from direct impacts.
Verify from CAD modelling/ simulation the compression modulus of selected material is capable of protecting sensitive components.
Select PSA material with temperature range compatible with product use-case.",,"Operating temperature cycling test.
Design margin test.
Drop test.
IPXX test.",,"3","72","No",,,
"51","Enclosure","Camera window adhesion failure","qualib392_pic1.png",,"QUAL-LIB-392",,"Loss of camera function","6","Sealing surface not texturing not compatible for PSA application i.e., not flat and smooth.
PSA rating not compatible with product operating temperature range.",,"4","Specify surface requirements for effective PSA attachments i.e. texture, smooth surface. 
Process control for PSA attachment using fixtures for consistent pressure and duration.",,"Vibration test.
Drop test across temperature.
Tumble test.",,"3","72","Yes",,,
"53","Enclosure","Poor sealing surface design","qualib394_pic1.png",,"QUAL-LIB-394",,"Loss of function due to water or dust ingress","6","Mating surface is not flat and smooth due to surface texturing, ultrasonic welding, ejector marks or parting lines.",,"4","Specify requirement for sealing mating surfaces to be flat and smooth.
Tool ejector pin location and molding gates are not on sealing surfaces.",,"Thermal shock followed by IPXX test.",,"3","72","No",,,
"54","Enclosure","Scan exit window detaching","qualib395_pic1.png",,"QUAL-LIB-395",,"Loss of barcode scanning capability","8","Mating surface design not compatible with ultrasonic welding process i.e. size of energy director.",,"4","Design mating surface and energy director that is compatible with ultrasonic welding process.",,"Verify scan window push out force meet specified requirement.
Drop test.
Tumble test.
IPXX test.",,"3","96","No",,,
"55","Enclosure","Paint peeling and bubbling on plastic surface","qualib396_pic1.png",,"QUAL-LIB-396",,"Degraded appearance","4","Material selection not compatible with customer use-case",,"4","Select compatible designs with the use-case such as In Mold Decoration (IMD).",,"Tests for outdoor use such Solar Radiation, Chemical Resistance test and Abrasion test.",,"3","48","No",,,
"58","Enclosure","Gun handle over-mold peeling from the substrate plastic","qualib416_pic1.png",,"QUAL-LIB-416","SPR 16251","Terminal is unstable to hold","4","Overmold material on handle is too soft and absorbs hand oils causing it to lose adhesion to the substrate
plastic over time. ",,"4","Specify over-mold material with higher shore durometer e.g. 90 shore on high touch surfaces.
Add features in the design of the substrate such as ribs or slots to increase surface contact area. ",,"Perform over-mold adhesion testing as outlined in 00-M911-TP08 test procedure.",,"3","48","No","https://spr.zebra.com/ViewSPR.aspx?sprID=16251",,
"59","Enclosure","IP6X test failure",,,"QUAL-LIB-526","SPR 34983","Failure to operate","8","Flex used for sealing between outside environment contained through holes due to a cost reduction effort (removal of component
but no change to flex)","eb237368-9fac-4900-a038-7ee9af79abe3.png","4","Flexes should not be used to create an IP seal for a device. Use suitable seal design e.g. PSA or rubber seal.

",,"IPXX test",,"3","96","No","https://spr.zebra.com/ViewSPR.aspx?sprID=34983",,
"60","Display","Mura appearing on display when touch panel is activated.","qualib596_pic1.png","qualib596_pic2.png","QUAL-LIB-596","SPR 37804","Appearance of localized distortion on display","4","Pressure induced to the back of Display when Touch Panel is activated due to lack of clearance between the Display and underlying components causing interference.","dfd399d2-1434-4ef8-a11f-67a5e9fb4656.png","4","Provide sufficient clearance between the back of display and underlying components.    Less rigid display
components will need higher clearance to accommodate tendency to bend when Touch Panel is activated.",,"Include display mura symptom in the list of check items during Engineering and Qualification testing.",,"4","64","No","https://spr.zebra.com/ViewSPR.aspx?sprID=37804",,
"61","Display","Display showing random lines on screen","qualib411_pic1.png",,"QUAL-LIB-411
",,"Distorted image on display","4","Lack of supporting features on display integration allowing for movement during impact resulting to damage on Display FPC.",,"4","Provide fillers e.g. foam pad to fill up void area between FPC bend area and edge of Display to restrict movement during impact.",,"Teardown inspection on test samples following Drop tests",,"3","48","No",,,
"62","Display","Light leakage on Display ","qualib412_pic1.png",,"QUAL-LIB-412",,"Localized discoloration on display","3","Peeling off of LED light bar from Back Light Unit (BLU) frame allowing for light to leak out.",,"4","Select adhesive material that can effectively perform at extreme temp.",,"High temperature Burn-in
Drop Test
Tumble Test",,"4","48","No",,,
"63","Display","Light leakage on display ","qualib415_pic1.png",,"QUAL-LIB-415",,"Localized discoloration on display","3","Excessive pressure being applied to the backlight in display integration stack-up design.",,"4","Minimize compression to the backlight in the display integration
 - LCD rubber boot
 - EMI spring position and force",,"Tolerance Analysis on display stackup to check for possible interference and verify equal compression around entire perimeter.

Manufacturing test under various display color backgrounds.",,"4","48","No",,,
"65","Display","Ripples on display","qualib417_pic1.png",,"QUAL-LIB-417",,"Appearance of localized distortion on display","4","Deformation of the backlight diffuser film due to lack of sufficient anchor points resulting to the locating anchors to deform during mechanical tests",,"4","Design for sufficient anchor points to support the backlight diffuser film from folding during mechanical tests. ","qualib417_pic2.png","Drop Test
Tumble Test",,"4","64","No",,,
"66","Display","Display not working","qualib418_pic1.png",,"QUAL-LIB-418",,"Unable to operate device","8","Crack on FPC display due to abrupt change in thickness causing sharp bend radius and high strain on FPC conductors.",,"4","Design guidelines on FPC around bend areas
1) FPC's identified as dynamic shall specify conductor material as 1mil Rolled Annealed Copper (RA-Cu).
2) Transitions in trace direction shall be placed outside of bend areas and away from areas where the width of the FPC changes.
3) FPC thickness transitions shall not occur within the bend region and shall not be in the same location as the FPC width transition.
4)  Hard stiffener e.g. stainless shall not occur parallel to the same location as the FPC trace.
5) There should be no via holes (PTH) present within the bend region of the FPC.",,"Drop and Tumble tests",,"3","96","No",,,
"68","Keypad","Intermittent keys","qualib431_pic1.png",,"QUAL-LIB-431",,"Keys may or may not work when pressed.","6","Keypad metal dome switch cutting into buried trace under the dome.",,"4","Review of keypad trace layout against dome array.
",,"Keypad actuation life test and teardown inspection focusing on keys directly above traces.",,"3","72","No",,,
"69","Keypad","Intermittent Keys","qualib433_pic1.png",,"QUAL-LIB-433",,"Keys may or may not work when pressed.","6","Metal dome switch obstructed by thickness of solder mask on PCB.",,"4","Review keypad trace layout and clearance against dome array.",,"Keypad actuation life test
Actuation force measurement on multiple keys",,"3","72","No",,,
"70","Keypad","Keypad connector breaking off from PCB","qualib434_pic1.png",,"QUAL-LIB-434",,"Keypad not functioning","6","Lack of mechanical support on connector.
",,"4","Select connector with through-hole mechanical support.
Add reinforcement such as epoxy for mechanical support.",,"Drop test
Tumble test",,"3","72","Yes",,,
"71","Keypad","Keypad connector breaking off from PCB","qualib434_pic1.png",,"QUAL-LIB-434",,"Keypad not functioning.","6","Poor solder joint due to limited pad size.",,"5","Optimize PCB solder pad size for proper solder joint formation.",,"Drop test
Tumble test",,"3","90","No",,,
"72","Keypad","Poor tactile feedback on keys.","qualib435_pic1.png",,"QUAL-LIB-495","SPR 19799
SPR 19800","Difficult to activate keys","4","Poor keypad mold and acoustic seal design.",,"4","Mold design and pin insert must be in perfect alignment.
Design must provide for proper seal components to fit for adjacent keys to operate.
No parting lines on critical surfaces.
Keypad membrane spec should call out for proper trimming requirements.",,"First Article Inspection on samples from every cavity to confirm compliance with design requirements.
Final test in MFG should include audio quality and echo testing.
Teardown inspection after Drops, Tumble, AFM to confirm no movement in placement of seal components.
Check for tactile feel of all adjacent keys to mic hole.
",,"5","80","No",,,
"73","Keypad","Key does not work when activated.","qualib436_pic1.png",,"QUAL-LIB-436",,"Unable to operate specific keys on keypad","6","Keypad dome single dimple contact design.
Single dimple design can be susceptible to small particle interference such as skin particles.",,"4","Select keypad dome with multiple dimple design.
Specify key actuation force and travel distance.",,"Verify dome design and height/spacing contact point during Engineering test.
Confirm actuation and contact points with pressure sensitive paper.
Measure key actuation force and travel distance.",,"4","96","No",,,
"74","Keypad","Keys or button getting stuck","qualib437_pic1.png",,"QUAL-LIB-437",,"Unable to operate key or button.","6","Poor mold design.  Parting line interferes with key or trigger button.",,"4","Location of mold parting line should be carefully chosen not to interfere with key or trigger button movement.
Design tool such that parting line for key or trigger button recesses occur at the bottom of recess and not at the top or middle section.
Specify maximum allowable parting line in the drawing.",,"Key actuation life test.
Verify tool design for parting line location for key or trigger button recesses.",,"4","96","No",,,
